id,tweet,airline_name,airline_sentiment
681454317,@SouthwestAir Hello - been on hold for extremely long time. Have confirmation # &amp; can't get boarding pass. Have tried numerous times!!,Southwest,negative
681454319,@SouthwestAir Very frustrated for the loooooong wait time to speak to a live person!!! Cannot get boarding pass for flight tomorrow!!,Southwest,negative
681454320,@SouthwestAir still no update text #2053 &amp; still no response to email fr1/5/2015 SR #256746438028. Feel like yr losing customer service/care,Southwest,negative
681454321,@SouthwestAir your agents were the ones who were rude and unhelpful and prompted my initial tweet. This is so easy to fix.,Southwest,negative
681454322,@SouthwestAir my wife had been in group A in prev. flight but got bumped for some reason.  Alone with two kids. At least put her in group A,Southwest,negative
681454323,@SouthwestAir my flight was delayed 4 hrs. I'm 5 months pregnant &amp; supposed to be caring for my mom whose in surgery now. Very upset.,Southwest,negative
681454324,@SouthwestAir thank you so much completely made things right!,Southwest,positive
681454325,@SouthwestAir love them! Always get the best deals!,Southwest,positive
681454326,@SouthwestAir can you follow me so I can send you the info?,Southwest,neutral
681454327,@SouthwestAir Been on hold 34 min so far trying to book seat for my infant. Price increased $42 in meantime. What do I do?,Southwest,negative
681454329,@SouthwestAir poor performance all around! Paid for Express checkin weeks ago and can't even leverage it #bullshit,Southwest,negative
681454332,@SouthwestAir I have been on hold for over 28 minutes  please help http://t.co/Fx9BIJlxAt,Southwest,neutral
681454333,@SouthwestAir can y'all develop Ding for a chrome/Firefox browser extension? That would be swell,Southwest,neutral
681454336,@SouthwestAir  thanks Southwest for saving our trip. my sweetheart isn't going to miss seeing #AltonBrownLive thanks to y'all! #SOhappy,Southwest,positive
681454337,@SouthwestAir can you have someone call me back? I have been on hold two times today for over 20 min and still haven't gotten through,Southwest,negative
681454338,@SouthwestAir did you know that suicide is the second leading cause of death among teens 10-24,Southwest,neutral
681454339,"@SouthwestAir never mind, I moved my flight to tomorrow. Thanks for the help!",Southwest,positive
681454340,.@SouthwestAir she needs a wheelchair at the gate for sure. What options does she have?,Southwest,neutral
681454341,@SouthwestAir I managed to get sorted out over the phone. Good luck dealing with the snow in Texas!,Southwest,positive
681454342,"@SouthwestAir has grounded 2 flights b/c of equipment problems &amp; been rude to my wife, traveling alone w/our 2 young kids.  never again.",Southwest,negative
681454344,@SouthwestAir Just DMed you my confirmation number.,Southwest,neutral
681454345,@SouthwestAir oh look you just delayed our flight an additional half hour now arriving at 6 officially five hours after planned. __σ__σ__σ__σ__σ___σ___σ_,Southwest,negative
681454346,@SouthwestAir weather bc of system outage. Hopefully everything goes smoothly now. Thank you for follow up,Southwest,positive
681454347,@SouthwestAir belt issues. Been a rough day for them. Worst part is traveling with 9 month old and having to wait outside in 85 degree,Southwest,negative
681454348,"@SouthwestAir oh, is it only in Atlanta?",Southwest,neutral
681454351,@SouthwestAir  got my bags 35 hours Late Flightr and an offer of $50 to go pick them up. Taxi costs $65 one way. Spent $200 for the inconvenience.,Southwest,negative
681454353,"@SouthwestAir sure, please follow me so I can do so?",Southwest,neutral
681454354,"@SouthwestAir  appreciate y'all getting the gate issue figured GRR. Plenty open gates, yet we sit and wait on tarmac",Southwest,negative
681454355,@SouthwestAir sent!,Southwest,neutral
681454356,@SouthwestAir 20 minutes on hold waiting is ridiculous......,Southwest,negative
681454358,@SouthwestAir I'm following now,Southwest,neutral
681454359,"@SouthwestAir  THANK YOU for your awesome flights. Sweetheart got screwed on @FlyFrontier, managed to scramble and get a SW plane today. !!!",Southwest,positive
681454360,@SouthwestAir Thanks so much!,Southwest,positive
681454361,@SouthwestAir round-trip tickets just arrived for our auction at the Post-Masters Invitational! Thanks Southwest! http://t.co/mRfBjtePef,Southwest,positive
681454362,@SouthwestAir went to purchase a flight that I began processing not even 4 minutes earlier and the points had gone up - any help?,Southwest,negative
681454363,@SouthwestAir I'm so upset that my luggage was damaged and the rude employee at the Laguardia airport didn't help!,Southwest,negative
681454367,@SouthwestAir I agree! RT @9NEWS: One airline is the fly-away favorite at DIA  #9NEWSBusiness http://t.co/o3WlaInImY,Southwest,positive
681454369,@SouthwestAir its flight #218 of that matters to you all. Hell next we all won't get our luggage properly transferred #facepalm #smh,Southwest,negative
681454370,@SouthwestAir your phone service sucks,Southwest,negative
681454372,"@SouthwestAir ""Airport snow removal method #22..""",Southwest,positive
681454374,@SouthwestAir and now our arrival is delayed nearly 5hours. Yeah an entire day in an airport is not my idea of a stress less vacation #fail,Southwest,negative
681454375,@SouthwestAir oh and now your company has caused us to lose an entire day of our vacation in Cancun. De Boarded waiting for another plane,Southwest,negative
681454377,@SouthwestAir My first call got dropped. Waited 15 mins for the second but ran out of time. Will try again Late Flightr. No way to do this online?,Southwest,negative
681454378,"@SouthwestAir Yo, I'm trying to make a change to a reservation but whenever I select the flight it says, ""Unable to price"". Please help!",Southwest,negative
681454379,@SouthwestAir great now we are all de boarding perfectly plane is shot. Fml. Plans are screwed. Thanks for nothing @SouthwestAir,Southwest,negative
681454381,"@SouthwestAir had to let us off the plane bc the toilets done even work! There goes my family vacay to playa del Carmen, Mexico! #neveragain",Southwest,negative
681454382,@SouthwestAir thanks for the apology. Unfortunately i have had one too many bad experiences and will no longer be flying with southwest.,Southwest,negative
681454384,@SouthwestAir @SMiles1307 over two hours now.  Ugh we should all get vouchers this is inexcusable ESP after a pre flight check that was ok.,Southwest,negative
681454385,@SouthwestAir I have a 5:30 flight out of Birmingham tomorrow night. Can I reschedule it for an earlier flight because of the expected snow?,Southwest,neutral
681454387,"@SouthwestAir horrible experience, passenger of size was 1/3 in my seat, offered $50 voucher for this by Christine C http://t.co/1xzrK66wVQ",Southwest,negative
681454390,@SouthwestAir need to learn how to treat people with respect and just a little dignity. #FAIL,Southwest,negative
681454391,"@SouthwestAir Redeem-points packages magically gone by time we finally got through @ 10:01, felt like #baitandswitch",Southwest,negative
681454392,@SouthwestAir done,Southwest,neutral
681454393,@SouthwestAir I think I get a faster response on Twitter than I do when I call...what's up with that?,Southwest,negative
681454395,"@SouthwestAir then had to watch the staff check off each passenger on the list TWICE, because the first time they forgot look at IDs. Brutal",Southwest,negative
681454396,"@SouthwestAir was on flight 2373 from CHI-BUF last night, almost 2 hour delay cuz someone got on the plane without a pass - sounds safe. 1/2",Southwest,negative
681454397,@SouthwestAir Thx for your quick response and action! bf will make good use of the voucher #satisfied #happycustomer,Southwest,positive
681454399,@SouthwestAir Rapid Rewards program sold me short. #Lasttweetaboutthis but still #disappointed.,Southwest,negative
681454400,@SouthwestAir freezing in the plane,Southwest,negative
681454401,@SouthwestAir where your airline people screwed up our boarding passes on the way back from puerto Vallarta. This is horrible and we are,Southwest,negative
681454402,@SouthwestAir from groupA to group C. We have never got to sit next to each other on any south west flight not even on our honey moon,Southwest,negative
681454403,@SouthwestAir flight to Atlanta getting Cancelled Flightled and then had to re schedule on the phone for over 1.5 hours with a rep this bumping us,Southwest,negative
681454404,@SouthwestAir due to an apparent water issue that checked out fine during the checks my husband and I already had to deal with our first,Southwest,negative
681454405,@SouthwestAir u have a lot of pissed off hungry tired people stuck at midway 4 over 2 hours after scheduled departure. This is inexcusable,Southwest,negative
681454406,@SouthwestAir do you know that your lost baggage portal http://t.co/hUcLXluV5h doesn't work on mobile? It's a 404 http://t.co/O4ZR27Qpcr,Southwest,negative
681454407,"@SouthwestAir if you're going to charge for wifi, do us all a solid and make sure it doesn't take the length of the flight to open a page",Southwest,negative
681454408,"@SouthwestAir your website has now reverted my 1st flight to only a 5-minute delay. But it's changed, so is that reliable information?",Southwest,negative
681454409,@SouthwestAir SWA helps the hotel industry. I always book flights a day before I need to be somewhere as SWA consistent Cancelled Flights/delays.,Southwest,negative
681454410,@SouthwestAir unfortunately once the call was answered service was horrid. SWA was the role-model of finger pointing &amp; excuses #DISAPPOINTED,Southwest,negative
681454412,@SouthwestAir can you please make sense of the companion promo? How to we set it up?,Southwest,neutral
681454415,@SouthwestAir frustrating indeed especially when no one knows what the issue is....,Southwest,negative
681454416,@SouthwestAir  on hold with customer service; you may be quicker.  I rebooked trip for a lower fare.  Where did the difference in $ go?,Southwest,negative
681454417,"@SouthwestAir That was Chantilly, Paris, France.",Southwest,neutral
681454418,@SouthwestAir and thx for not responding,Southwest,negative
681454419,@SouthwestAir I booked a flight on my phone and then never got a confirmation email. How would I go about getting that?,Southwest,negative
681454421,@SouthwestAir how come I'm not getting my points after I buy from the rapid reward shopping site?,Southwest,negative
681454423,@SouthwestAir and Carol Thrower are passengers. Fort Lauderdale airport.,Southwest,neutral
681454424,@SouthwestAir mins and no answer. My wife and baby need to get on that flight. She arrived 2 hrs prior. Please help. Venetia Crook,Southwest,negative
681454425,@SouthwestAir my wife and 9 month old might miss flight and next direct is 210 pm. Mother in law been on hold with customer support for 30,Southwest,negative
681454426,@SouthwestAir flight 1614 FLL to ATL. My wife traveling with infant. Line to check baggage 200 people long due to your computer system crash,Southwest,negative
681454428,"@SouthwestAir Hey, friends. When I phone the A-list number your IVR hangs up on me. Multiple times. Not sure how to proceed?",Southwest,negative
681454429,"@SouthwestAir strives to be 'Customer Centric' in everything they do - communications, advertising, customer journey, etc. #ANAmarketers",Southwest,positive
681454430,"@SouthwestAir LA always has traffic, but this is INSANE. I can't be the only one with this issue on flight 1625",Southwest,negative
681454431,@SouthwestAir INSANE traffic in LA. Trying to call you all to re schedule flight but been on phone for 20 minutes and nothing.,Southwest,negative
681454432,@SouthwestAir Airline trouble &amp; not getting satisfactory customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!,Southwest,neutral
681454433,@SouthwestAir hey southwest! Help me find a flight from Nashville - Washington DC or Raleigh for under $150 on March 15 please!,Southwest,neutral
681454434,"@SouthwestAir Why can we no longer change trips with a companion online? Been doing it for years, now get message can't be done online?",Southwest,negative
681454435,@SouthwestAir Adding RR number to a @Marriott stay is too hard. Won't take RR number at checkin/out and Marriott phone CS not helpful.,Southwest,negative
681454436,@SouthwestAir NOR @SpiritAirlines fly to Toronto?!?!? You're killing me smalls.......,Southwest,negative
681454438,@SouthwestAir traditionally used sledge hammer - low $ taking share from driving | now scalpel approach through data science  #ANAmarketers,Southwest,neutral
681454440,"@SouthwestAir I have used you guys for most my travels, but this last experience I will never use southwest again! #worstcustomerservice",Southwest,negative
681454442,"@SouthwestAir: #VIPLiveintheVieyard - first time we tried to redeem pts for *anything*, it really did not go well. #disappointed",Southwest,negative
681454447,"@SouthwestAir Switching planes due to mechanical problems.  How does reboarding work? Was A49, now at end of long line.  Stuck in middle?",Southwest,negative
681454449,"@SouthwestAir: Tried for VIP Live in The Vineyard but yr site went down, by the time I got in 2 redeem pts those packages gone.",Southwest,negative
681454450,@SouthwestAir An Oscar-worthy entrance into LA. http://t.co/10tmtHVFDC,Southwest,neutral
681454451,"@SouthwestAir is the best airline hands down. Amazing customer service, bags free and affordable flights. #happycamper",Southwest,positive
681454454,@SouthwestAir Thank you for taking good care of people with ALS! http://t.co/m1yyWAFkFI @KevinSwan_ @ALSTDI @A_Life_Story_,Southwest,positive
681454455,@SouthwestAir has the smoooothest flight attendants. #SouthwestSmoothie http://t.co/Vr9k180LaI,Southwest,positive
681454456,@SouthwestAir why was Southwest only airline to Cancelled Flight all flights from Charleston? Was 7:50pm flight Cancelled Flightation really weather reLate Flightd?,Southwest,negative
681454458,"@SouthwestAir Thanks for the text, but not exactly timely 8). Data throughout issues today maybe? http://t.co/aaU9MKA6Zy",Southwest,negative
681454459,@SouthwestAir I called the 800 # and the rep there was pleasant but less than helpful! Told me I was SOL. Train them for consistent #CX!,Southwest,negative
681454460,@SouthwestAir 25 year customer but I am 6 3 and those lost 2 or 3 inches really hurt  every time the person in front shifts he raps my knees,Southwest,negative
681454461,"@SouthwestAir- ...was only less than 3500pts, but it helped. Had PartnerRewards incoming, but not fast enough to keep pts from expiring.",Southwest,neutral
681454462,"@SouthwestAir- Wife's RR pts expired a few days ago, were planning on Flight Booking Problems trip today. Anything you can do for us? On a tight budget...",Southwest,neutral
681454464,@SouthwestAir why is customer relations still not open....in Texas?!,Southwest,negative
681454465,@SouthwestAir Thank you for the tip!,Southwest,positive
681454466,@SouthwestAir   I hate evolved seating. knees in the seat pocket http://t.co/forNpF69Ky,Southwest,negative
681454467,@SouthwestAir Thanks to your team for dealing with Flight 1700 to Houston.,Southwest,positive
681454469,"@SouthwestAir I ""heart"" Southwest but those commercials aimed to satisfy a nano-smattering of travelers to few destinations.",Southwest,negative
681454470,@SouthwestAir I urgently need two receipts sent but CS is closed. Can you help?,Southwest,neutral
681454471,@SouthwestAir sent,Southwest,neutral
681454476,"@SouthwestAir no need, I know the status, you Cancelled Flightled instead of delaying the flight.",Southwest,negative
681454477,@SouthwestAir weather where? And at what time Cancelled Flighted? No I can't because meeting was today.,Southwest,negative
681454480,@SouthwestAir when and why was flight 4471 from MSP Cancelled Flighted this AM?,Southwest,negative
681454481,@SouthwestAir I luv y'all but please stop overheating your planes. Second flight in a row that feels like a sauna.,Southwest,negative
681454482,@SouthwestAir I was not the one traveling. I was asking for my sister who was waiting on my nephew in Midland...flight eventually landed,Southwest,neutral
681454484,@SouthwestAir i have asked Lindsey to call me instead of DM like a schoolgirl but so far no call   Getting tired of typing little notes,Southwest,negative
681454485,@SouthwestAir give us some more clever advertising about #bagsflyfree is that because #badpolicy allows you to #cheatcustomers,Southwest,negative
681454486,@SouthwestAir it's just the principle - it's hard to get mugged &amp; not be upset you took my money &amp; didn't give me anything #wrongiswrong,Southwest,negative
681454487,@SouthwestAir customer service you shouldn't use those words wasted my time and took my money #BadBussiness #Theft http://t.co/63zaQ2lt8f,Southwest,negative
681454488,@SouthwestAir three hour flight to Orlando and no wifi? Uncool. #firstworldproblems,Southwest,negative
681454489,"@SouthwestAir loving the new planes and the lighting, only wish windows were larger. http://t.co/h44uJ63CJG",Southwest,positive
681454491,"@SouthwestAir customer service at FLL, BWI,and PIT have been terrible.no one knows where his bags are.his is on a job with no clothes &amp; gear",Southwest,negative
681454492,"@SouthwestAir After multiple attempts, I was finally able to submit them Late Flight last night.",Southwest,negative
681454493,"@SouthwestAir up at 4AM and arrive to find it already Cancelled Flighted. No options so miss my meeting. You might ""know"" but don't show it.",Southwest,negative
681454496,"@SouthwestAir quick question - i bought wifi for my phone, do I have to buy it again on my tablet? I have 9 hours left on my trip",Southwest,neutral
681454498,"@SouthwestAir Hello SWA, Who is your POC for partnerships with nonprofit organizations in BWI area?",Southwest,neutral
681454499,@SouthwestAir hey remember that time you lost my husbands bags? I do.,Southwest,negative
681454500,@SouthwestAir Looking forward to flying once again with #SWA on Friday! The #LUV airline. #DTW #MDW #TUS,Southwest,positive
681454501,@SouthwestAir I love this airline so much! Thanks so much! The service is great! The snacks are amazing! Everything is outstanding thanks!!,Southwest,positive
681454502,@SouthwestAir you need to redeem yourself. I lost respect for you tonight #lostbags #filmjobnoequipment,Southwest,negative
681454503,@SouthwestAir way to fuck up and lose @c_istudios bags. My husband has no warm clothes and no equipment. #youdidit #notcool,Southwest,negative
681454505,@SouthwestAir wifi stays connected about the lifetime of a higgs boson,Southwest,negative
681454506,@SouthwestAir forget wedding fairs. How about discounts for nonprofits? We donate part of our worth every single day,Southwest,neutral
681454510,@SouthwestAir had a great flight to and from Cabo last week with my family #smoothflight #frequentflyer,Southwest,positive
681454511,@SouthwestAir we can let #bags flutter because we charge travelers that had to change dates #fullprice and we don't let them travel,Southwest,negative
681454512,@SouthwestAir __β__β__β on that Late Flightst ad. Makes me happy to be flying you in a few days. #BETHonors,Southwest,positive
681454515,@SouthwestAir What an awesome flight Dallas 2 NY. Virgin America refused bc of my child's peanut allergy but u guys didn't. Thanks! __β__σ_,Southwest,positive
681454516,@SouthwestAir won't let me send a DM because they don't follow me.. #lovedflyingwiththem #notanymore #wrong #badpolicy,Southwest,negative
681454517,@SouthwestAir reference #: 261093929756,Southwest,neutral
681454519,@SouthwestAir Do you know the reason flight #336 from Dallas to Midland was diverted to Lubbock? Was suppose to be direct to Midland.,Southwest,neutral
681454520,"@SouthwestAir in flight wifi + @TMobile wifi calling makes for the best combination. Who doesn't love texting 40,000 feet in the air :D",Southwest,positive
681454521,@SouthwestAir has become like every other airline #crooked I can't believe they are taking over $500 #shouldwearmasks #shocked,Southwest,negative
681454522,@SouthwestAir here is my conf #F8NEQM. My flight was delayed for 3 hours while my friend waited for me on her bday. Please follow up.,Southwest,negative
681454523,@SouthwestAir Twitter cust svc rule 1 Dont say IF we fell short. I just told u u did! #2 If u cant solve problem don't say anything at all!,Southwest,negative
681454524,"@SouthwestAir disappointed in the 'service' I've received. Checked in online, checked my my flight status online, CHECKED IN AT THE AIRPORT",Southwest,negative
681454525,@SouthwestAir great day in the air. http://t.co/YNc2ZUt4zz,Southwest,positive
681454527,"@SouthwestAir Thanks for two smooth, safe and fast flights! #Boston #Houston #LUVSWA http://t.co/elhxUV0Uj1",Southwest,positive
681454528,@SouthwestAir /I really love your customer service Lou Ann in Phx rocks. Thanks SW. #be Ourguest,Southwest,positive
681454530,@SouthwestAir if I am enrolled in the ATL companion pass offer and booked 3 flights already before May 17 when can I start using the pass?,Southwest,neutral
681454532,"@SouthwestAir very disappointed in your customer service right now. definitely not feeling the luv. what's worse, 2nd time this winter.",Southwest,negative
681454534,"@SouthwestAir Katie, Gate C47, Denver International, fantastic customer service helping me and 2 new flyers; thx for amazing staff!",Southwest,positive
681454535,@SouthwestAir Kudos to bag handler at DTW gate 21 at 7:10 pm. Ran to keep bags from hitting ground in 9 degree temp! http://t.co/5tXU5tSFkJ,Southwest,negative
681454536,@SouthwestAir crew on flight 206 is awesome! Tell them I sent this tweet and maybe they will give me free wifi... #canthurtasking,Southwest,positive
681454537,@SouthwestAir thankyou :))__δι,Southwest,positive
681454540,@SouthwestAir happy to enter your sweepstakes again #nutsaboutsouthwest,Southwest,positive
681454541,@SouthwestAir thanks for the great customer service today! __β__β«,Southwest,positive
681454543,@SouthwestAir beyond ready,Southwest,positive
681454544,"@SouthwestAir when I called I was told my bag had made it to PHL, but still has not been delivered or any call from the delivery service",Southwest,negative
681454547,@SouthwestAir is my favorite airlines. I've never had issues with them. Plus there crew is entertaining.,Southwest,positive
681454548,@SouthwestAir Should be a way to give voice to customers who pay for services that are not satisfactorily delivered. #justsayin,Southwest,negative
681454549,@SouthwestAir your flight attendants are really funny!! The sass is giving me life!!! __σ_,Southwest,positive
681454550,@SouthwestAir I am genuinely surprised you all don't upgrade people when you Cancelled Flight their flights or at least put them in a comparable spot,Southwest,negative
681454551,@SouthwestAir following. Thank you.,Southwest,positive
